REFERENCE: tag,REFERENCE: doi,FORMULA,Internal Reference #,Original DOI,PROPERTY: Type of phases,PROPERTY: Single/Multiphase,PROPERTY: synthesis method,PROPERTY: grain size ($\mu$m),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Exp. Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm),REFERENCE: comment,
J4-42,10.1016/j.msea.2011.11.045,AlCoCrCuFeNi,42,10.1016/j.msea.2011.11.045,BCC + FCC1 + FCC2,M,AC,,,,T,700,350,360,5,,,,,,tests were all done at 700C ,
J4-42,10.1016/j.msea.2011.11.045,AlCoCrCuFeNi,42,10.1016/j.msea.2011.11.045,BCC + FCC1 + FCC2 + $\sigma$,M,HF,,,,T,700,63,91,63,,,,,,tests were all done at 700C; changed processing from AC to F,
J4-114,10.1016/j.jallcom.2009.10.088,Al9Co18Cr18Cu18Fe18Ni18,114,10.1016/j.jallcom.2009.10.088,FCC,S,CR,,,,T,700,180,185,5,,,,,,tests were all done at 700C ,
J4-114,10.1016/j.jallcom.2009.10.088,Al9Co18Cr18Cu18Fe18Ni18,114,10.1016/j.jallcom.2009.10.088,FCC1 + FCC2,M,CR + A,,,,T,700,160,180,12,,,,,,tests were all done at 700C ,
J5,10.1016/j.actamat.2018.11.049,FeCoNiCrTi0.2,,,FCC,S,CR + A,51,4.8,,T,25,700,1240,36,,,,,,"missed the ductility values, incorrect processing (from AC to CR + A), grain size to 51",
J5,10.1016/j.actamat.2018.11.049,FeCoNiCrTi0.2,,,FCC,S,CR + A,,4.8,,T,-196,860,1580,46,,,,,,"missed the ductility values, incorrect processing (from AC to CR + A), grain size to 51",
J6,10.1016/j.actamat.2018.12.012,Al0.1CoCrFeNi,,,FCC,S,CR,20,,,T,25,1198 $\pm$ 27,,1.5 $\pm$ 0.3,,,,,,,
J6,10.1016/j.actamat.2018.12.012,Al0.1CoCrFeNi,,,FCC,S,CR + A,20,,,T,25,1403 $\pm$ 20,,1.2 $\pm$ 0.1,,,,,,"For future reference, any repeated formulat that includes Annealing (A) as synthesis method is assumed to have varying annealing duration and temperatures as the experimental variable",
J6,10.1016/j.actamat.2018.12.012,Al0.1CoCrFeNi,,,FCC,S,CR + A,20,,,T,25,711 $\pm$ 40,928 $\pm$ 35,30.3 $\pm$ 3.7,,,,,,,
J6,10.1016/j.actamat.2018.12.012,Al0.1CoCrFeNi,,,FCC,S,CR + A,7,,,T,25,356 $\pm$ 13,,42.4 $\pm$ 0.6,,,,,,,
J7,10.1016/j.msea.2018.10.094,CoCrFeMnNi,,,FCC,S,CR + A,0.5,,,T,25,1120,,1.1,,,,,,,
J7,10.1016/j.msea.2018.10.094,CoCrFeMnNi,,,FCC,S,CR + A,,,,T,-196,1692,,10.3,,,,,,,
J8,10.1016/j.jallcom.2018.08.176,CrFeNi2Al,,,FCC + BCC + B2,M,AC,,,,T,25,774,1357,6.4,,,,,,,
J8,10.1016/j.jallcom.2018.08.176,CrFeNi2.1Al0.9,,,FCC + BCC + B2,M,AC,,,,T,25,610,1173,9.1,,,,,,,
J8,10.1016/j.jallcom.2018.08.176,CrFeNi2.2Al0.8,,,FCC + BCC + B2,M,AC,,,,T,25,479,956,12.7,,,,,,,
J8,10.1016/j.jallcom.2018.08.176,CrFeNi2.3Al0.7,,,FCC + BCC + B2,M,AC,,,,T,25,461,835,30,,,,,,,
J8,10.1016/j.jallcom.2018.08.176,CrFeNi2.4Al0.6,,,FCC,S,AC,,,,T,25,441,757,45,,,,,,,
J10,10.1016/j.actamat.2018.12.015,CrCoNi,,,FCC,S,CR + A,1.6,,468,T,25,1100,,23,,,,,,changed grain size,
J10,10.1016/j.actamat.2018.12.015,CrCoNi,,,FCC,S,CR + A,2.3,,326,T,25,597,,53,,,,,,new data,
J10,10.1016/j.actamat.2018.12.015,CrCoNi,,,FCC,S,CR + A,24,,223,T,25,346,,76,,,,,,new data,
J11,10.1038/s41467-019-08460-2,AlCoCrFeNi2.1,,,FCC + B2,M,CR + A,,,,T,25,1263,,21.4,,,,,,recorded ref value not true values; had to go to supplementary,
J11,10.1038/s41467-019-08460-2,AlCoCrFeNi2.1,,,FCC + B2,M,CR + A,,,,T,25,1154,,25,,,,,,new values,
J11,10.1038/s41467-019-08460-2,AlCoCrFeNi2.1,,,FCC + B2,M,CR + A,,,,T,25,1490,,16,,,,,,new values,
J12,10.1016/j.scriptamat.2018.11.042,CrMnFeCoNi,,,FCC,S,AC,,,130.2,C,25,210,,57,,,,,,pulled ductility off plot,
J12,10.1016/j.scriptamat.2018.11.042,CrMnFeCoNi,,,FCC,S,CR,,,394.1,C,25,1150,,6,,,,,,pulled ductility off plot,
J12,10.1016/j.scriptamat.2018.11.042,CrMnFeCoNi,,,FCC,S,CR + A,,,430.7,C,25,1300,,0.7,,,,,,pulled ductility off plot,
J13,10.1016/j.jallcom.2018.10.230,NbTaTiV,,,BCC,S,SPS,24,,427.9,C,25,1108,,28.3,,,,,,Sintered @ 1500 C; pulled ductility off of plot,
J13,10.1016/j.jallcom.2018.10.230,NbTaTiV,,,BCC,S,SPS,30,,444.3,C,25,1308,,27.9,,,,,,Sintered @ 1600 C; pulled ductility off of plot,
J13,10.1016/j.jallcom.2018.10.230,NbTaTiV,,,BCC,S,SPS,38,,510.9,C,25,1373,,29.5,,,4800,,1900,Sintered @ 1700 C; pulled ductility off of plot,
J14,10.1016/j.jmst.2018.09.068,CoCrFeMnNi,,,FCC,S,CR + A,30,,,T,25,300,676,52,,,,,,changed ductility to engineering strain ,
J14,10.1016/j.jmst.2018.09.068,CoCrFeMnNi,,,FCC,S,CR + A,0.65,,,T,25,800,888,39.5,,,,,,changed ductility to engineering strain ,
J15,10.1016/j.jallcom.2018.10.168,FeCoCrNiMn,,,FCC + BCC,M,AC,0.4,,415,C,25,1314,,,20.3,,,,,,
J15,10.1016/j.jallcom.2018.10.168,FeCoCrNiMnAl0.1,,,FCC + BCC,M,AC,,,432,C,25,1631,,,12.6,,,,,,
J15,10.1016/j.jallcom.2018.10.168,FeCoCrNiMnAl0.3,,,FCC + BCC,M,AC,0.2,,511,C,25,1836,,,4.9,,,,,,
J15,10.1016/j.jallcom.2018.10.168,FeCoCrNiMnAl0.5,,,FCC + BCC,M,AC,,,553,C,25,1932,,,3.8,,,,,,
J15,10.1016/j.jallcom.2018.10.168,FeCoCrNiMnAl0.7,,,FCC + BCC,M,AC,0.2,,622,C,25,2230,,,1.69,,,,,,
J15,10.1016/j.jallcom.2018.10.168,FeCoCrNiMnAl1,,,FCC + BCC,M,AC,,,684,C,25,,,,0,,,,,,
J16,10.1007/s40843-018-9373-y,CoCrFeNi,,,FCC,S,A + HF,,,,T,20,446,664,63,,189,,,,,
J16,10.1007/s40843-018-9373-y,CoCrFeNi,,,FCC,S,A + HF,,,,T,-73,488,790,72,,194,,,,,
J16,10.1007/s40843-018-9373-y,CoCrFeNi,,,FCC,S,A + HF,,,,T,-196,590,1070,78,,204,,,,-796 corrected to -196,
J16,10.1007/s40843-018-9373-y,CoCrFeNi,,,FCC,S,A + HF,,,,T,-223,,1152 $\pm$ 8,68.6 $\pm$ 3.3,,,,,,,
J16,10.1007/s40843-018-9373-y,CoCrFeNi,,,FCC,S,A + HF,,,,T,-253,,1240 $\pm$ 40,62 $\pm$ 0.6,,,,,,,
J16,10.1007/s40843-018-9373-y,CoCrFeNi,,,FCC,S,A + HF,,,,T,-268.8,680,1251 $\pm$ 10,61.6 $\pm$ 1.6,,221,,,,,
J17,10.1016/j.matdes.2019.107698,CoCrFeNi,,,FCC,S,AC,,,94.7,,,,,,,,,,,Pulled hardness data off plot,
J17,10.1016/j.matdes.2019.107698,Al0.3CoCrFeNi,,,FCC,S,AC,,,117,,,,,,,,,,,Pulled hardness data off plot,
J17,10.1016/j.matdes.2019.107698,Al0.6CoCrFeNi,,,FCC + BCC + B2,M,AC,,,228,,,,,,,,,,,Pulled hardness data off plot,
J17,10.1016/j.matdes.2019.107698,Al0.9CoCrFeNi,,,FCC + BCC + B2,M,AC,,,511,,,,,,,,,,,Pulled hardness data off plot,
J17,10.1016/j.matdes.2019.107698,Al0.9CoCrFeNiTi0.5,,,BCC + B2 + Im,M,AC,,,623,,,,,,,,,,,Pulled hardness data off plot,
J18,10.1016/j.jmst.2018.10.009,CoCrFeMnNi,,,FCC,S,AC,,,,C,25,216,,,,,,,,,
J18,10.1016/j.jmst.2018.10.009,(CoCrFeMnNi)96Mo4,,,FCC,S,AC,,,,C,25,225,,,,,,,,,
J18,10.1016/j.jmst.2018.10.009,(CoCrFeMnNi)92Mo8,,,FCC + $\sigma$,M,AC,,,,C,25,330,,,,,,,,,
J18,10.1016/j.jmst.2018.10.009,(CoCrFeMnNi)88Mo12,,,FCC + $\sigma$,M,AC,,,,C,25,560,,,,,,,,,
J18,10.1016/j.jmst.2018.10.009,(CoCrFeMnNi)84Mo16,,,FCC + $\sigma$,M,AC,,,,C,25,765,,,,,,,,,
J20,10.1016/j.scriptamat.2018.10.023,Al0.3CoCrFeNi,,,FCC + L12,M,CR,,,,T,25,143,400,65,,,,,,,
J20,10.1016/j.scriptamat.2018.10.023,Al0.3CoCrFeNi,,,FCC + L12,M,CR + A,,,,T,25,471,850,45,,,,,,,
J20,10.1016/j.scriptamat.2018.10.023,Al0.3CoCrFeNi,,,FCC + B2 + $\sigma$,M,CR + A,,,,T,25,841,1050,35,,,,,,,
J20,10.1016/j.scriptamat.2018.10.023,Al0.3CoCrFeNi,,,FCC + BCC + B2 + $\sigma$,M,CR + A,,,,T,25,161,1650,7,,,,,,,
J20,10.1016/j.scriptamat.2018.10.023,Al0.3CoCrFeNi,,,FCC + BCC + B2 + $\sigma$,M,CR + A,,,,T,25,187,1850,5,,,,,,,
J21,10.1016/j.jallcom.2018.11.057,AlCoCrNi,,,BCC + B2,M,AC,,,1183 $\pm$ 20,C,25,1750 $\pm$ 50,,16.7 $\pm$ 0.9,,,,,,hardness units in GPA,
J23,10.1016/j.msea.2019.01.050,FeCoCrNiMn,,,FCC,S,CR + A,7.9,,,T,25,378.7,700.1,54,,,,,,,
J23,10.1016/j.msea.2019.01.050,FeCoCrNiMnC0.5,,,FCC,M,CR + A,4.7,,,T,25,520.9,791.4,40.3,,,,,36380,Note: these alloys were intentionally designed to contain carbon,
J23,10.1016/j.msea.2019.01.050,FeCoCrNiMnC1,,,FCC,M,CR + A,3.5,,,T,25,643.8,887.6,31.9,,,,,30300,Note: these alloys were intentionally designed to contain carbon,
J24,10.1016/j.ijplas.2018.10.005,Cr20Fe6Co34Ni34Mo6,,,FCC,S,CR,,,,T,25,,,8,,,,,,,
J24,10.1016/j.ijplas.2018.10.005,Cr20Fe6Co34Ni34Mo6,,,FCC,S,CR + A,0.7,,,T,25,,,14,,,,,,extracted data from plots,
J24,10.1016/j.ijplas.2018.10.005,Cr20Fe6Co34Ni34Mo6,,,FCC,S,CR + A,0.8,,,T,25,1100,1300,32,,,,,,extracted data from plots,
J24,10.1016/j.ijplas.2018.10.005,Cr20Fe6Co34Ni34Mo6,,,FCC,S,CR + A,1.2,,,T,25,950,,36,,,,,,extracted data from plots,
J24,10.1016/j.ijplas.2018.10.005,Cr20Fe6Co34Ni34Mo6,,,FCC,S,CR + A,3.2,,,T,25,649,,42,,,,,,extracted data from plots,
J24,10.1016/j.ijplas.2018.10.005,Cr20Fe6Co34Ni34Mo6,,,FCC,S,CR + A,18.2,,,T,25,439,,63,,,,,,extracted data from plots,
J24,10.1016/j.ijplas.2018.10.005,Cr20Fe6Co34Ni34Mo6,,,FCC,S,CR + A,94.1,,,T,25,309,,82,,,,,,extracted data from plots,
J25,10.1016/j.jallcom.2018.08.115,Co0.2Cr0.2Fe0.2Mn0.2Ni0.2,,,FCC,S,CR + A,,,,T,25,386.2,666.3,57.5,,,,,,added total elongation ,
J26,10.1016/j.matchemphys.2018.09.033,FeCrCuMnNi,,,FCC1 + FCC2 + BCC ,M,AC,,,,T,25,628,950,14.5,,,,,,not sure where original data was from... extracted from plot,
J26,10.1016/j.matchemphys.2018.09.033,FeCrCuMnNi,,,FCC1 + FCC2 + BCC ,M,A,,,,T,25,545,690,5,,,,,,not sure where original data was from... extracted from plot,
J26,10.1016/j.matchemphys.2018.09.033,FeCrCuMnNi,,,FCC1 + FCC2 + BCC ,M,A,,,,T,25,534,682,5.2,,,,,,not sure where original data was from... extracted from plot,
J26,10.1016/j.matchemphys.2018.09.033,FeCrCuMnNi,,,FCC1 + FCC2 + BCC ,M,A,,,,T,25,525,680,4.3,,,,,,not sure where original data was from... extracted from plot,
J26,10.1016/j.matchemphys.2018.09.033,FeCrCuMnNi,,,FCC1 + FCC2 + BCC ,M,A,,,,T,25,517,677,4.6,,,,,,not sure where original data was from... extracted from plot,
J26,10.1016/j.matchemphys.2018.09.033,FeCrCuMnNi,,,FCC1 + FCC2 + BCC ,M,A,,,,T,25,502,671,4.9,,,,,,not sure where original data was from... extracted from plot,
J27,10.1016/j.jallcom.2018.11.318,NbMoTaWVCr,,,BCC + Laves + oxide,M,SPS,0.54,,1072,C,25,,,,,,7946,,,Sintered @ 1400 C,
J27,10.1016/j.jallcom.2018.11.318,NbMoTaWVCr,,,BCC + Laves + oxide,M,SPS,1.24,,1010,C,25,3416,,5.3,,,7946,,,Sintered @ 1500 C,
J27,10.1016/j.jallcom.2018.11.318,NbMoTaWVCr,,,BCC + Laves + oxide,M,SPS,5.01,,991.3,C,25,3410,,2,,,7946,,,Sintered @ 1600 C,
J27,10.1016/j.jallcom.2018.11.318,NbMoTaWVCr,,,BCC + Laves + oxide,M,SPS,10.8,,988.3,C,25,3338,,1.9,,,7946,,,Sintered @ 1700 C,
J27,10.1016/j.jallcom.2018.11.318,NbMoTaWVCr,,,,,SPS,,,1010,C,25,3416,,5.3,,,,,,,
J27-28,10.1016/j.calphad.2015.09.007,NbMoTaWVCr,28,10.1016/j.calphad.2015.09.007,,,AC,,,704.6,C,25,,,,,,,,,,
J28,10.1016/j.vacuum.2018.12.009,CoCrCuFeNi,,,FCC + B2,M,AC,,,45.2,,,,,,,,,,,note this is rockwell hardness ,
J28,10.1016/j.vacuum.2018.12.009,Al0.5CoCrCuFeNi,,,FCC,S,AC,,,48.8,,,,,,,,,,,note this is rockwell hardness ,
J28,10.1016/j.vacuum.2018.12.009,AlCoCrCuFeNi,,,FCC + BCC,M,AC,,,73.8,,,,,,,,,,,note this is rockwell hardness ,
J28,10.1016/j.vacuum.2018.12.009,Al1.5CoCrCuFeNi,,,FCC + BCC,M,AC,,,75.1,,,,,,,,,,,note this is rockwell hardness ,
J28,10.1016/j.vacuum.2018.12.009,Al2CoCrCuFeNi,,,FCC + BCC,M,AC,,,77.5,,,,,,,,,,,note this is rockwell hardness ,
J29,10.1002/adma.201807142,VCoNi,,,,,CR+A,2.0 $\pm$ 1.5,,,T,25,991 $\pm$ 8,1359 $\pm$ 2.1,38 $\pm$ 0.5,,,,,,changed processing from A to CR + A,
J29,10.1002/adma.201807142,VCoNi,,,,S,CR+A,5.6 $\pm$ 3.1,,,T,25,767 $\pm$ 5,1224 $\pm$ 0.5,46 $\pm$ 0.1,,,,,,changed processing from A to CR + A,
J29,10.1002/adma.201807142,VCoNi,,,,,CR+A,18.7 $\pm$ 13.9,,,T,25,602 $\pm$ 7,1123 $\pm$ 8.0,51 $\pm$ 1.6,,,,,,changed processing from A to CR + A,
J29,10.1002/adma.201807142,VCoNi,,,,,CR+A,27.8 $\pm$ 19.5,,,T,25,517 $\pm$ 8,1049 $\pm$ 0.5,55 $\pm$ 1.5,,,,,,changed processing from A to CR + A,
J29,10.1002/adma.201807142,VCoNi,,,,,CR+A,122.2 $\pm$ 76.4,,,T,25,461 $\pm$ 6,886 $\pm$ 4.0,58 $\pm$ 0.1,,,,,,changed processing from A to CR + A,
J30,10.1016/j.actamat.2018.12.010,Al0.3CoCrFeNi,,,FCC + B2 + $\sigma$,M,CR+A,,,,T,25,840 $\pm$ 20,1039 $\pm$ 21,32 $\pm$ 4,,,,,,,
J30,10.1016/j.actamat.2018.12.010,Al0.3CoCrFeNi,,,FCC,M,CR+A,,,,T,25,159 $\pm$ 22,410 $\pm$ 42,65 $\pm$ 3,,,,,,,
J31,10.1016/j.scriptamat.2018.09.008,(Al18.6Fe34.2Co23.6Ni23.6)97.3C2.7,,,B2 + L12,M,AC,,,,C,25,1202,,32.6,,,,,11067,Note: this alloy was intentionally designed to contain carbon,
J32,10.1016/j.matchar.2018.07.015,HfNbTaTiZr,,,BCC,S,CR+A,,,,,,,,,,,,,,Skipped,
J33,10.1080/21663831.2018.1553803,Co25Cr25(FeNi)50,,,FCC,S,CR+A,14.9,,,T,25,214,612,77.3,,,,,,changed processing from A to CR + A; added grain size,
J33,10.1080/21663831.2018.1553803,Co35Cr25(FeNi)40,,,FCC,S,CR+A,11.6,,,T,25,241,721,96.2,,,,,,changed processing from A to CR + A; added grain size,
J33,10.1080/21663831.2018.1553803,Co45Cr25(FeNi)30,,,FCC,S,CR+A,10.5,,,T,25,299,841,76.1,,,,,,changed processing from A to CR + A; added grain size,
J33,10.1080/21663831.2018.1553803,Co55Cr25(FeNi)20,,,FCC  + HCP,M,CR+A,5.6,,,T,25,392,746,20.3,,,,,,changed processing from A to CR + A; added grain size,
J33,10.1080/21663831.2018.1553803,Co65Cr25(FeNi)10,,,FCC  + HCP,M,CR+A,6.2,,,T,25,482,857,13.3,,,,,,changed processing from A to CR + A; added grain size,
J34,10.1016/j.intermet.2019.04.003,NbHfZrTi,,,BCC,S,CR+A,,,,,,,,,,69.7,,,,Youngs Modulus data,
J34-58,10.1016/j.intermet.2014.11.005,NiCoCrFeMn,58,10.1016/j.intermet.2014.11.005,,,,,,,,,,,,,202,,,,,
J34-59,10.1557/adv.2017.76,NiCoCrFeMn,59,10.1557/adv.2017.76,,,,,,,,,,,,,202.2,,,,,
J34-60,10.1016/j.msea.2016.05.082,NiCoFeCr,60,10.1016/j.msea.2016.05.082,,,,,,,,,,,,,204,,,,,
J34-61,10.1016/j.msea.2017.04.003,NiCoFe,61,10.1016/j.msea.2017.04.003,,,,,,,,,,,,,174,,,,,
J34-62,10.1016/j.msea.2017.06.086,NiCoCr,62,10.1016/j.msea.2017.06.086,,,,,,,,,,,,,222,,,,,
J34-63, 10.1038/ncomms10602,NiCoCr,63, 10.1038/ncomms10602,,,,,,,,,,,,,229,,,,,
J34-61,10.1016/j.msea.2017.04.003,NiCoCr,61,10.1016/j.msea.2017.04.003,,,,,,,,,,,,,234,,,,,
J35,10.1016/j.actamat.2019.03.010,Al34Co17Cr34Cu0Fe5Ni10,,,,,,,,699 $\pm$ 37,,,,,,,,,,,"No mechnical data, data mostly on HV",not a review article 
J35,10.1016/j.actamat.2019.03.010,Al47Co14Cr15Cu5Fe13Ni6,,,,,,,,728 $\pm$ 42,,,,,,,,,,,,not a review article 
J35,10.1016/j.actamat.2019.03.010,Al38Co11Cr6Cu9Fe31Ni5,,,,,,,,604 $\pm$ 31,,,,,,,,,,,,not a review article 
J35,10.1016/j.actamat.2019.03.010,Al36Co10Cr31Cu6Fe9Ni8,,,,,,,,790 $\pm$ 41,,,,,,,,,,,,not a review article 
J35,10.1016/j.actamat.2019.03.010,Al43Co17Cr15Cu0Fe14Ni11,,,,,,,,806 $\pm$ 31,,,,,,,,,,,,not a review article 
J35,10.1016/j.actamat.2019.03.010,Al47Co12Cr12Cu5Fe13Ni11,,,,,,,,811 $\pm$ 31,,,,,,,,,,,,not a review article 
J35,10.1016/j.actamat.2019.03.010,Al43Co19Cr19Cu0Fe11Ni8,,,,,,,,855 $\pm$ 26,,,,,,,,,,,,not a review article 
J35,10.1016/j.actamat.2019.03.010,Al39Co10Cr31Cu5Fe8Ni7,,,,,,,,802 $\pm$ 18,,,,,,,,,,,,not a review article 
J35,10.1016/j.actamat.2019.03.010,Al47Co13Cr13Cu5Fe12Ni10,,,,,,,,799 $\pm$ 42,,,,,,,,,,,,not a review article 
J35,10.1016/j.actamat.2019.03.010,Al43Co20Cr22Cu0Fe8Ni7,,,,,,,,857 $\pm$ 43,,,,,,,,,,,,not a review article 
J35,10.1016/j.actamat.2019.03.010,Al47Co14Cr19Cu5Fe10Ni5,,,,,,,,855 $\pm$ 15,,,,,,,,,,,,not a review article 
J35,10.1016/j.actamat.2019.03.010,Al43Co20Cr19Cu0Fe9Ni9,,,,,,,,816 $\pm$ 37,,,,,,,,,,,,not a review article 
J35,10.1016/j.actamat.2019.03.010,Al46Co14Cr23Cu5Fe7Ni5,,,,,,,,811 $\pm$ 34,,,,,,,,,,,,not a review article 
J35,10.1016/j.actamat.2019.03.010,Al44Co14Cr22Cu5Fe9Ni6,,,,,,,,790 $\pm$ 48,,,,,,,,,,,,not a review article 
J35,10.1016/j.actamat.2019.03.010,Al43Co19Cr24Cu0Fe8Ni6,,,,,,,,855 $\pm$ 30,,,,,,,,,,,,not a review article 
J35,10.1016/j.actamat.2019.03.010,Al43Co18Cr24Cu0Fe10Ni5,,,,,,,,856 $\pm$ 53,,,,,,,,,,,,not a review article 
J35,10.1016/j.actamat.2019.03.010,Al47Co14Cr20Cu5Fe9Ni5,,,,,,,,859 $\pm$ 26,,,,,,,,,,,,not a review article 
J35,10.1016/j.actamat.2019.03.010,Al43Co24Cr22Cu0Fe5Ni6,,,,,,,,875 $\pm$ 58,,,,,,,,,,,,not a review article 
J35,10.1016/j.actamat.2019.03.010,Al43Co25Cr22Cu0Fe5Ni5,,,,,,,,865 $\pm$ 39,,,,,,,,,,,,not a review article 
J35,10.1016/j.actamat.2019.03.010,Al43Co24Cr23Cu0Fe5Ni5,,,,,,,,868 $\pm$ 45,,,,,,,,,,,,not a review article 
J35,10.1016/j.actamat.2019.03.010,Al43Co23Cr21Cu0Fe8Ni5,,,,,,,,863 $\pm$ 34,,,,,,,,,,,,not a review article 
J35,10.1016/j.actamat.2019.03.010,Al47Co12Cr20Cu5Fe11Ni5,,,,,,,,843 $\pm$ 52,,,,,,,,,,,,not a review article 
J35,10.1016/j.actamat.2019.03.010,Al43Co15Cr17Cu5Fe14Ni6,,,,,,,,794 $\pm$ 35,,,,,,,,,,,,not a review article 
J35,10.1016/j.actamat.2019.03.010,Al42Co10Cr30Cu5Fe7Ni6,,,,,,,,783 $\pm$ 27,,,,,,,,,,,,not a review article 
J35,10.1016/j.actamat.2019.03.010,Al47Co11Cr22Cu5Fe10Ni5,,,,,,,,797 $\pm$ 17,,,,,,,,,,,,not a review article 
J35,10.1016/j.actamat.2019.03.010,Al47Co13Cr20Cu5Fe10Ni5,,,,,,,,805 $\pm$ 24,,,,,,,,,,,,not a review article 
J35,10.1016/j.actamat.2019.03.010,Al29Co22Cr34Cu0Fe5Ni10,,,,,,,,699 $\pm$ 10,,,,,,,,,,,,not a review article 
J35,10.1016/j.actamat.2019.03.010,Al47Co7Cr16Cu9Fe16Ni5,,,,,,,,749 $\pm$ 26,,,,,,,,,,,,not a review article 
J35,10.1016/j.actamat.2019.03.010,Al43Co14Cr21Cu5Fe12Ni5,,,,,,,,828 $\pm$ 42,,,,,,,,,,,,not a review article 
J35,10.1016/j.actamat.2019.03.010,Al47Co18Cr15Cu5Fe10Ni5,,,,,,,,849 $\pm$ 37,,,,,,,,,,,,not a review article 
J35,10.1016/j.actamat.2019.03.010,Al47Co20Cr18Cu5Fe5Ni5,,,BCC+B2,M,,,,883 $\pm$ 22,,,,,,,,,,,,not a review article 
J35,10.1016/j.actamat.2019.03.010,Al43Co18Cr20Cu0Fe12Ni7,,,,,,,,864 $\pm$ 23,,,,,,,,,,,,not a review article 
J35,10.1016/j.actamat.2019.03.010,Al47Co17Cr16Cu5Fe10Ni5,,,,,,,,841 $\pm$ 37,,,,,,,,,,,,not a review article 
J35,10.1016/j.actamat.2019.03.010,Al43Co24Cr23Cu0Fe5Ni5,,,,,,,,868 $\pm$ 45,,,,,,,,,,,,not a review article 
J35,10.1016/j.actamat.2019.03.010,Al43Co25Cr22Cu0Fe5Ni5,,,,,,,,865 $\pm$ 39,,,,,,,,,,,,not a review article 
J35,10.1016/j.actamat.2019.03.010,Al46Co21Cr18Cu5Fe5Ni5,,,,,,,,840 $\pm$ 67,,,,,,,,,,,,not a review article 
J35,10.1016/j.actamat.2019.03.010,Al43Co22Cr22Cu0Fe8Ni5,,,,,,,,882 $\pm$ 22,,,,,,,,,,,,not a review article 
J35,10.1016/j.actamat.2019.03.010,Al43Co22Cr23Cu0Fe7Ni5,,,BCC+B2,M,,,,883 $\pm$ 47,,,,,,,,,,,,not a review article 
J35,10.1016/j.actamat.2019.03.010,Al43Co20Cr21Cu0Fe9Ni7,,,,,,,,828 $\pm$ 48,,,,,,,,,,,,not a review article 
J35,10.1016/j.actamat.2019.03.010,Al43Co22Cr25Cu0Fe5Ni5,,,,,,,,848 $\pm$ 27,,,,,,,,,,,,not a review article 
J35,10.1016/j.actamat.2019.03.010,Al47Co19Cr19Cu5Fe5Ni5,,,,,,,,878 $\pm$ 25,,,,,,,,,,,,not a review article 
J35,10.1016/j.actamat.2019.03.010,Al43Co29Cr18Cu0Fe5Ni5,,,,,,,,782 $\pm$ 49,,,,,,,,,,,,not a review article 
J36,10.1016/j.msea.2019.01.112,Co20.6Cr19.9Fe19.5Ni20.9Mn19.1,,,BCC,S,CR+A,,,,T,25,1290,1415,1.1,,,,,,,not a review article 
J36,10.1016/j.msea.2019.01.112,Co20.6Cr19.9Fe19.5Ni20.9Mn19.1,,,FCC + BCC + $\sigma$,M,CR+A,1.3 $\pm$ 0.7,,,T,25,1135,1260,1.8,,,,,,fixed grain size; wrong unit,
J36,10.1016/j.msea.2019.01.112,Co20.6Cr19.9Fe19.5Ni20.9Mn19.1,,,FCC + BCC + $\sigma$,M,CR+A,2 $\pm$ 0.9,,,T,25,585,815,31.7,,,,,,fixed grain size; wrong unit,
J36,10.1016/j.msea.2019.01.112,Co20.6Cr19.9Fe19.5Ni20.9Mn19.1,,,FCC + $\sigma$,M,CR+A,3.6 $\pm$ 1.7,,,T,25,425,735,40.2,,,,,,fixed grain size; wrong unit,
J36,10.1016/j.msea.2019.01.112,Co20.6Cr19.9Fe19.5Ni20.9Mn19.1,,,FCC,S,CR+A,17.1 $\pm$ 8.2,,,T,25,270,630,46.2,,,,,,fixed grain size; wrong unit,
J36,10.1016/j.msea.2019.01.112,Co20.6Cr19.9Fe19.5Ni20.9Mn19.1,,,,,CR,0.07,,,T,25,1120,1175,1.5,,,,,,added grain size from text,
J38,10.1016/j.actamat.2019.06.032,Al0.4Hf0.6NbTaTiZr,,,BCC,S,HIP+A,,9.08,,C,23,1841,,,,,,,,noted grain size greater than 100um,not a review article
J38,10.1016/j.actamat.2019.06.032,AlCrMoTi,,,BCC,S,A,,5.98,,C,23,1100,,,,,,,,noted grain size greater than 100um,not a review article
J38,10.1016/j.actamat.2019.06.032,AlMoNbTi,,,BCC,S,A,,6.46,,C,23,1100,,,,,,,,noted grain size greater than 100um,not a review article
J38,10.1016/j.actamat.2019.06.032,HfMo0.5NbTiV0.5,,,BCC,S,AC,,8.96,,C,23,1260,,,,,,,,noted grain size greater than 100um,not a review article
J38,10.1016/j.actamat.2019.06.032,HfMoNbTaTiZr,,,BCC,S,AC,,9.93,,C,23,1512,,,,,,,,noted grain size greater than 100um,not a review article
J38,10.1016/j.actamat.2019.06.032,HfMoNbTiZr,,,BCC,S,AC,,8.68,,C,23,1575,,,,,,,,noted grain size greater than 100um,not a review article
